date,pnl,total_profit,n,equity_12M
2020-03-31,55336.9742722744,3944200.261351452,4,15944200.261351451
2020-04-01,-66636.85068373304,3877563.4106677193,5,15877563.41066772
2020-04-06,317026.7890848965,4194590.199752616,5,16194590.199752616
2020-04-07,250754.31660494424,4445344.51635756,5,16445344.51635756
2020-04-08,-14294.057728817257,4431050.458628742,4,16431050.458628742
2020-04-09,-97884.17104094557,4333166.287587796,2,16333166.287587795
2020-04-10,52667.65494605538,4385833.942533852,2,16385833.94253385
2020-04-13,-103507.60598503756,4282326.336548814,1,16282326.336548813
2020-04-14,202067.35578526277,4484393.692334076,1,16484393.692334076
2020-04-15,165272.99557304403,4649666.68790712,1,16649666.68790712
2020-04-16,65987.384764678,4715654.072671798,1,16715654.072671797
2020-04-17,194949.33247547012,4910603.405147268,1,16910603.40514727
2020-04-20,127255.46058879423,5037858.865736063,1,17037858.865736064
2020-04-21,-173100.00000000006,4864758.865736063,0,16864758.865736064
2020-04-22,0.0,4864758.865736063,0,16864758.865736064
2020-04-23,0.0,4864758.865736063,0,16864758.865736064
2020-04-24,0.0,4864758.865736063,0,16864758.865736064
2020-04-27,0.0,4864758.865736063,0,16864758.865736064
2020-04-28,-17100.0,4847658.865736063,1,16847658.865736064
2020-04-29,184826.24250466013,5032485.108240723,1,17032485.108240724
2020-04-30,744963.1124491367,5777448.220689859,1,17777448.22068986
2020-05-04,-31211.550142509186,5746236.67054735,1,17746236.67054735
2020-05-05,-142119.98750780642,5604116.683039544,0,17604116.683039546
2020-05-06,0.0,5604116.683039544,0,17604116.683039546
2020-05-07,0.0,5604116.683039544,0,17604116.683039546
2020-05-08,0.0,5604116.683039544,0,17604116.683039546
2020-05-11,0.0,5604116.683039544,0,17604116.683039546
2020-05-12,0.0,5604116.683039544,0,17604116.683039546
2020-05-13,0.0,5604116.683039544,0,17604116.683039546
2020-05-14,0.0,5604116.683039544,0,17604116.683039546
2020-05-15,0.0,5604116.683039544,0,17604116.683039546
2020-05-18,0.0,5604116.683039544,0,17604116.683039546
2020-05-19,0.0,5604116.683039544,0,17604116.683039546
2020-05-20,-17100.0,5587016.683039544,1,17587016.683039546
2020-05-21,-173099.99999999977,5413916.683039544,0,17413916.683039546
2020-05-22,0.0,5413916.683039544,0,17413916.683039546
2020-05-25,0.0,5413916.683039544,0,17413916.683039546
2020-05-26,0.0,5413916.683039544,0,17413916.683039546
2020-05-27,0.0,5413916.683039544,0,17413916.683039546
2020-05-28,-17100.0,5396816.683039544,1,17396816.683039546
2020-05-29,-173100.00000000017,5223716.683039544,0,17223716.683039546
2020-06-01,0.0,5223716.683039544,0,17223716.683039546
2020-06-02,-17100.0,5206616.683039544,1,17206616.683039546
2020-06-03,198247.80976220313,5404864.492801747,1,17404864.49280175
2020-06-04,26239.079044570077,5431103.5718463175,2,17431103.571846317
