,ticker,type,entry_date,exit_date,entry_p,exit_p,pnl_net
117,6147,long,2020-09-22,2020-09-25,44.37,43.7724,-71574.23935091277
118,6147,long,2020-09-25,2020-10-08,43.39,43.53,-4793.800414842077
119,2615,long,2020-10-08,2020-10-15,14.92,15.16015,46683.37801608575
120,8086,long,2020-09-24,2020-10-16,90.02,94.83054999999999,196054.72117307232
121,8932,long,2020-09-28,2020-10-26,4.02,4.09,51951.74129353263
122,3529,long,2020-10-16,2020-10-26,535.87,602.0635,476401.18125664786
123,2344,long,2020-10-15,2020-10-27,13.45,16.4822,884069.5167286245
124,3529,long,2020-10-26,2020-10-28,566.49,586.3725999999999,122691.53383113496
125,5425,long,2020-10-26,2020-10-30,40.16,39.86415,-47167.13147410303
126,2344,long,2020-10-27,2020-10-30,16.34,15.768099999999999,-157700.0000000003
127,4736,long,2020-10-30,2020-11-02,155.93,150.47245,-157699.99999999994
128,6561,long,2020-10-28,2020-11-11,279.75,274.81269999999995,-88295.88918677461
129,8942,long,2020-11-02,2020-11-16,35.02,36.77615,182888.2352941174
130,3374,long,2020-11-11,2020-11-17,156.06,167.331,271188.8888888885
131,6223,long,2020-11-16,2020-11-19,106.64,102.9076,-157699.99999999994
132,3374,long,2020-11-17,2020-11-25,163.82,167.331,68028.23831034052
133,3081,long,2020-10-30,2020-11-26,242.65,255.47,193633.19596126096
134,2615,long,2020-11-19,2020-12-01,23.48,26.441,486729.3015332195
135,3630,long,2020-11-25,2020-12-03,54.2,58.672,312336.90036900324
136,2303,long,2020-11-26,2020-12-10,29.79,37.04635,956633.6690164481
137,1815,long,2020-12-01,2020-12-10,11.72,12.6222,290218.08873720095
138,6488,long,2020-12-03,2020-12-10,552.58,549.7701500000001,-38039.86029172235
139,6182,long,2020-12-10,2020-12-15,39.28,38.0789,-140011.60896130383
140,5483,long,2020-12-10,2020-12-18,130.3,127.23525,-111782.88564850399
141,2603,long,2020-12-15,2020-12-22,24.53,26.8849,366303.2613126779
142,5274,long,2020-12-18,2020-12-22,1447.57,1396.9050499999998,-157700.00000000026
143,3481,long,2020-12-10,2020-12-25,11.72,12.69,313358.0204778153
144,2615,long,2020-12-22,2020-12-29,27.05,31.9415,705627.1719038817
145,8358,long,2020-12-25,2020-12-30,42.21,43.637299999999996,117557.04809286853
146,2615,long,2020-12-29,2021-01-05,30.94,34.547,448621.91338073637
147,5425,long,2020-12-30,2021-01-05,54.17,52.27405,-157699.99999999994
148,2603,long,2020-12-22,2021-01-06,25.85,37.58675,1798431.5280464217
149,2615,long,2021-01-05,2021-01-06,34.23,33.031949999999995,-157700.00000000026
150,2603,long,2021-01-06,2021-01-07,36.42,35.1453,-157700.0000000003
151,2317,long,2021-01-05,2021-01-12,85.6,85.77884999999999,-9342.523364486118
152,3661,long,2021-01-06,2021-01-12,697.75,763.7299499999999,360544.07022572507
153,5274,long,2021-01-12,2021-01-14,1815.89,1752.33385,-157700.00000000023
154,3034,long,2021-01-07,2021-01-26,248.99,268.87795,301797.97180609644
155,6187,long,2021-01-12,2021-01-26,92.54,104.31649999999999,491333.93127296236
156,3653,long,2021-01-14,2021-01-27,262.95,260.6465,-52740.882297014425
157,3680,long,2021-01-26,2021-01-28,314.7,324.2207,103313.02828090287
158,2360,long,2021-01-26,2021-01-28,189.14,182.52009999999999,-157700.00000000003
159,4938,long,2021-01-28,2021-01-29,61.19,59.04835,-157699.9999999999
160,3665,long,2021-01-27,2021-02-01,269.72,260.2798,-157700.00000000003
161,3680,long,2021-01-28,2021-02-01,316.06,304.9979,-157699.99999999983
162,5439,long,2021-01-29,2021-02-04,43.73,43.49,-39652.892750971405
163,8069,long,2021-02-02,2021-02-05,44.4,43.10655,-134227.02702702704
164,5274,long,2021-02-04,2021-02-05,1764.5,1734.52,-85662.5956361576
165,3264,long,2021-02-05,2021-02-19,37.23,37.027049999999996,-39504.99597099128
166,3034,long,2021-02-19,2021-02-24,347.8,337.5377,-135725.30189764278
167,1216,long,2021-02-01,2021-02-26,55.97,55.5261,-49424.137931034435
168,3481,long,2021-02-05,2021-02-26,12.91,15.198749999999999,691440.2013942676
169,3078,long,2021-02-24,2021-02-26,45.38,43.7917,-157700.00000000032
170,4162,long,2021-02-26,2021-03-02,62.48,60.29319999999999,-157700.00000000035
171,3078,long,2021-02-26,2021-03-02,41.72,40.2598,-157700.00000000003
172,4162,long,2021-03-02,2021-03-05,58.71,56.73235,-152440.24867995258
173,3481,long,2021-02-26,2021-03-10,15.04,14.60045,-134601.59574468056
174,5009,long,2021-03-05,2021-03-16,13.54,13.46,-41333.677991136865
175,3211,long,2021-03-02,2021-03-22,71.01,85.2481,784333.5164061392
176,5263,long,2021-03-10,2021-03-22,130.31,137.05895,189465.98879594836
177,3211,long,2021-03-22,2021-03-23,85.01,82.03465,-157700.00000000026
178,2603,long,2021-03-23,2021-03-25,36.6,36.100649999999995,-72273.77049180403
179,3152,long,2021-03-16,2021-03-30,484.55,485.4,-10683.180270354218
180,2357,long,2021-03-22,2021-04-06,259.05,259.4,-12295.637907740347
181,8358,long,2021-03-30,2021-04-12,59.57,63.767199999999995,264133.1374853111
182,3481,long,2021-03-25,2021-04-13,17.29,23.0442,1313520.3585887798
183,6187,long,2021-04-06,2021-04-13,114.16,121.42595,236888.29712683966
184,6643,long,2021-04-12,2021-04-14,353.72,341.3398,-157700.0
185,3363,long,2021-04-13,2021-04-14,29.68,28.641199999999998,-157700.00000000026
186,3481,long,2021-04-13,2021-04-14,21.58,20.824699999999996,-157700.00000000035
187,2603,long,2021-04-14,2021-04-22,51.28,62.69605,872787.5195007799
188,2615,long,2021-04-14,2021-04-22,40.94,54.213699999999996,1279193.0141670736
189,2615,long,2021-04-22,2021-04-23,53.79,51.90735,-157699.99999999988
190,2603,long,2021-04-22,2021-04-23,62.4,60.215999999999994,-157700.0000000003
191,2002,long,2021-04-14,2021-04-28,27.55,32.279250000000005,668942.468239565
192,2883,long,2021-04-23,2021-05-03,9.94,10.52815,218980.08048289764
193,2059,long,2021-04-23,2021-05-03,337.32,325.5138,-157699.99999999988
194,2615,long,2021-04-28,2021-05-04,57.99,61.4126,218382.08311777862
195,3260,long,2021-05-03,2021-05-04,93.51,90.23715,-157700.00000000023
196,3037,long,2021-05-03,2021-05-04,98.08,94.6472,-157700.0
197,3260,long,2021-05-04,2021-05-05,87.33,84.27345,-157700.00000000006
198,5274,long,2021-05-05,2021-05-06,1730.24,1669.6816,-157700.00000000026
199,2615,long,2021-05-04,2021-05-07,57.3,57.87,22090.575916230388
200,2603,long,2021-05-04,2021-05-12,66.77,78.9756,713502.635914333
201,2881,long,2021-05-06,2021-05-12,43.28,45.96295,230262.1072088723
202,6505,long,2021-05-07,2021-05-12,93.84,92.70754999999998,-65971.52600170588
203,2603,long,2021-05-12,2021-05-13,73.7,71.1205,-236549.99999999965
204,2059,long,2021-05-12,2021-05-17,334.56,333.0408,-107590.67431850833
205,4736,long,2021-05-18,2021-05-19,125.28,120.8952,-157699.99999999997
206,6180,long,2021-05-18,2021-05-27,46.59,45.094449999999995,-146100.9444086721
207,2357,long,2021-05-20,2021-05-28,279.08,275.22,-73024.6380966025
208,2615,long,2021-05-27,2021-05-31,88.09,93.47955,227029.25417186966
209,3293,long,2021-05-18,2021-06-02,156.13,179.05575000000002,569650.285018895
210,2615,long,2021-05-31,2021-06-07,90.91,97.4071,268169.5413045871
211,2344,long,2021-06-02,2021-06-09,31.12,30.783499999999997,-60951.92802056613
212,4736,long,2021-05-28,2021-06-11,142.8,150.80055000000002,206405.0420168068
213,3017,long,2021-06-09,2021-06-16,63.67,62.6,-84921.61143395636
214,3131,long,2021-06-07,2021-06-21,326.01,338.60884999999996,136882.3747737796
215,2383,long,2021-06-11,2021-06-22,174.82,178.718,71488.87999084764
216,2603,long,2021-06-16,2021-06-23,114.28,126.801,420556.9128456423
217,2615,long,2021-06-21,2021-06-23,156.11,151.86205,-126545.04516046384
218,6182,long,2021-06-23,2021-06-25,57.52,55.5068,-157700.00000000032
219,3529,long,2021-06-22,2021-06-28,1301.39,1334.33445,83559.26893552266
220,5425,long,2021-06-25,2021-07-01,51.63,54.812,228823.33914390818
221,3529,long,2021-06-28,2021-07-01,1253.55,1253.55,-17700.0
222,5009,long,2021-07-01,2021-07-02,21.6,20.844,-157700.00000000003
223,2615,long,2021-06-23,2021-07-05,141.69,203.2869,1721220.1778530597
224,5425,long,2021-07-01,2021-07-13,52.48,79.8055,2065036.2804878047
225,3260,long,2021-07-05,2021-07-13,95.06,93.9717,-63494.2352198613
226,5425,long,2021-07-13,2021-07-14,76.18,73.5137,-157700.00000000035
227,8086,long,2021-07-13,2021-07-20,168.27,167.30205,-40709.4490996613
228,6187,long,2021-07-14,2021-07-20,136.21,136.03605,-22808.28867190424
229,6548,long,2021-07-02,2021-07-21,27.23,31.960799999999995,677239.4050679391
230,8069,long,2021-07-20,2021-07-21,82.08,79.2072,-157699.9999999999
231,1815,long,2021-07-20,2021-07-23,18.26,17.95,-85607.99561883947
232,3264,long,2021-07-21,2021-07-23,45.81,44.95935,-91976.35887360852
233,8069,long,2021-07-21,2021-07-23,75.81,78.05,100490.21237303759
234,1565,long,2021-07-23,2021-07-26,308.5,297.7025,-157700.00000000017
