date,pnl,total_profit,n,equity_bt,year
2023-06-19,-11217.211147651662,6677714.6693023145,95,66677714.669302315,2023
2023-06-20,-49092.637526516184,6628622.031775799,95,66628622.0317758,2023
2023-06-21,17414.52170970939,6646036.553485508,95,66646036.553485505,2023
2023-06-26,-22052.623176884666,6623983.930308623,95,66623983.930308625,2023
2023-06-27,-98004.10986934998,6525979.8204392735,95,66525979.82043927,2023
2023-06-28,11663.887066373602,6537643.707505647,95,66537643.70750564,2023
2023-06-29,61558.56245630062,6599202.269961948,95,66599202.269961946,2023
2023-06-30,26887.46260100786,6626089.7325629555,95,66626089.73256296,2023
2023-07-03,76991.73161078869,6703081.464173744,96,66703081.46417374,2023
2023-07-04,68190.29607930184,6771271.760253047,95,66771271.76025305,2023
2023-07-05,-2023.9952110505992,6769247.765041996,95,66769247.76504199,2023
2023-07-06,-53831.96431429714,6715415.800727699,94,66715415.800727695,2023
2023-07-07,-109892.68490003941,6605523.115827659,93,66605523.11582766,2023
2023-07-10,-16312.659361038577,6589210.456466621,93,66589210.45646662,2023
2023-07-11,77095.3580383065,6666305.814504927,93,66666305.81450493,2023
2023-07-12,2402.7819507406343,6668708.596455668,93,66668708.59645567,2023
2023-07-13,28059.869327604913,6696768.465783273,93,66696768.465783276,2023
2023-07-14,77642.16577728644,6774410.631560559,93,66774410.63156056,2023
2023-07-17,20581.83401068202,6794992.465571241,91,66794992.46557124,2023
2023-07-18,-25248.790056567257,6769743.675514674,92,66769743.675514676,2023
2023-07-19,-81761.23477182335,6687982.44074285,92,66687982.44074285,2023
2023-07-20,59212.80782685191,6747195.248569702,93,66747195.248569705,2023
2023-07-21,-11367.6730252438,6735827.575544458,93,66735827.57554446,2023
2023-07-24,-24550.74994393123,6711276.825600526,93,66711276.82560053,2023
2023-07-25,66570.82160019386,6777847.64720072,93,66777847.64720072,2023
2023-07-26,-27727.154051687758,6750120.493149033,92,66750120.493149035,2023
2023-07-27,84580.58828553627,6834701.081434569,92,66834701.08143457,2023
2023-07-28,86268.40683279766,6920969.488267367,92,66920969.48826737,2023
2023-07-31,-74182.32185366063,6846787.166413706,92,66846787.16641371,2023
2023-08-01,-4347.820147289968,6842439.346266416,92,66842439.34626642,2023
2023-08-02,-105960.30057191731,6736479.045694498,93,66736479.0456945,2023
2023-08-04,21745.29498466193,6758224.34067916,92,66758224.34067916,2023
2023-08-07,51388.456094131885,6809612.796773292,91,66809612.79677329,2023
2023-08-08,-48140.98318309465,6761471.813590198,91,66761471.8135902,2023
2023-08-09,-53505.96289376888,6707965.850696429,91,66707965.85069643,2023
2023-08-10,-82938.78914439764,6625027.061552031,91,66625027.06155203,2023
2023-08-11,-1770.7643908398077,6623256.297161191,91,66623256.29716119,2023
2023-08-14,-84224.30332468293,6539031.993836508,92,66539031.99383651,2023
2023-08-15,22354.974063587106,6561386.9679000955,92,66561386.9679001,2023
2023-08-16,-3391.3625225143824,6557995.605377581,93,66557995.605377585,2023
2023-08-17,60197.78155979478,6618193.386937376,93,66618193.38693738,2023
2023-08-18,-59042.55737489721,6559150.829562479,92,66559150.82956248,2023
2023-08-21,-4181.939253834936,6554968.890308644,91,66554968.89030864,2023
2023-08-22,7693.433834291248,6562662.324142935,91,66562662.32414293,2023
2023-08-23,53828.261041158126,6616490.585184093,92,66616490.58518409,2023
2023-08-24,72006.17142260047,6688496.756606693,92,66688496.75660669,2023
2023-08-25,-41831.67394613798,6646665.082660556,93,66646665.082660556,2023
2023-08-28,-1311.7033894960928,6645353.379271059,93,66645353.37927106,2023
2023-08-29,42471.45427773488,6687824.8335487945,93,66687824.83354879,2023
2023-08-30,75945.11157092969,6763769.945119725,94,66763769.94511972,2023
2023-08-31,14006.916450893854,6777776.861570618,96,66777776.86157062,2023
2023-09-01,8535.412020821666,6786312.27359144,97,66786312.273591444,2023
2023-09-04,16609.112991977545,6802921.386583418,97,66802921.38658342,2023
2023-09-05,48782.18802781162,6851703.574611229,98,66851703.57461123,2023
2023-09-06,-6622.901300702092,6845080.673310527,96,66845080.673310526,2023
2023-09-07,-20006.953061750875,6825073.720248776,96,66825073.72024877,2023
2023-09-08,-16520.684416255066,6808553.035832521,97,66808553.035832524,2023
2023-09-11,-62332.95513576689,6746220.080696753,96,66746220.080696754,2023
2023-09-12,72517.96983901919,6818738.050535772,95,66818738.05053577,2023
2023-09-13,27450.265391904395,6846188.315927677,94,66846188.31592768,2023
2023-09-14,118484.11913885685,6964672.435066533,94,66964672.435066536,2023
2023-09-15,18824.041261944763,6983496.476328478,95,66983496.47632848,2023
2023-09-18,-27820.894834970528,6955675.581493508,95,66955675.58149351,2023
2023-09-19,-62416.61517009853,6893258.966323409,95,66893258.966323406,2023
2023-09-20,-61277.53662435814,6831981.429699051,94,66831981.42969905,2023
2023-09-21,-78059.28752853155,6753922.14217052,91,66753922.14217052,2023
2023-09-22,55694.43029179198,6809616.572462312,92,66809616.57246231,2023
2023-09-25,55276.39582346493,6864892.968285777,93,66864892.96828578,2023
2023-09-26,-89667.46675601538,6775225.501529762,95,66775225.50152976,2023
2023-09-27,123.64391714826297,6775349.14544691,96,66775349.14544691,2023
2023-09-28,360.4563502665096,6775709.6017971765,99,66775709.60179718,2023
2023-10-02,145903.70167298883,6921613.3034701655,100,66921613.303470165,2023
2023-10-03,-24097.096793040295,6897516.206677125,103,66897516.206677124,2023
2023-10-04,-50402.61913211981,6847113.587545005,102,66847113.58754501,2023
2023-10-05,89487.81686414273,6936601.404409148,103,66936601.40440915,2023
2023-10-06,-3241.7336605974056,6933359.67074855,104,66933359.67074855,2023
2023-10-11,-23570.617996316563,6909789.052752234,102,66909789.052752234,2023
2023-10-12,103475.657378455,7013264.710130689,103,67013264.71013069,2023
2023-10-13,-33736.2683201593,6979528.44181053,103,66979528.44181053,2023
2023-10-16,-32644.765284976118,6946883.676525554,102,66946883.676525556,2023
2023-10-17,-25251.75623860873,6921631.920286945,101,66921631.920286946,2023
2023-10-18,-72769.23831917378,6848862.681967772,100,66848862.68196777,2023
2023-10-19,52293.34954705595,6901156.031514827,100,66901156.03151482,2023
2023-10-20,-43555.448962176786,6857600.58255265,99,66857600.58255265,2023
2023-10-23,-76913.90712509495,6780686.675427555,101,66780686.675427556,2023
2023-10-24,70479.57687780679,6851166.252305361,101,66851166.25230536,2023
2023-10-25,-4782.780243203188,6846383.472062158,101,66846383.472062156,2023
2023-10-26,-135258.34572251403,6711125.126339644,100,66711125.126339644,2023
2023-10-27,30577.192974629786,6741702.319314274,100,66741702.31931427,2023
2023-10-30,44783.55144781189,6786485.870762086,101,66786485.87076209,2023
2023-10-31,-75292.62324915038,6711193.247512935,102,66711193.24751294,2023
